,시도별,near_ktx,distacne(km)
0,부산시 서구,부산역,2.9749
1,부산시 동구,부산역,1.3003
2,부산시 영도구,부산역,3.5959
3,대구시 서구,서대구역,2.0157
4,대구시 남구,동대구역,4.6944
5,인천시 강화군,행신역,33.9357
6,인천시 옹진군,광명역,22.1655
7,가평군,양평역,37.6521
8,연천군,상봉역,55.5834
9,태백시,동해역,39.1708
10,삼척시,동해역,6.574
11,홍천군,횡성역,26.1157
12,횡성군,횡성역,2.4118
13,영월군,제천역,23.651
14,평창군,평창역,21.5334
15,정선군,평창역,28.7242
16,철원군,상봉역,64.3458
17,화천군,양평역,70.7184
18,양구군,둔내역,69.6764
19,강원도 고성군,강릉역,78.2998
20,양양군,강릉역,42.4503
21,제천시,제천역,1.2238
22,보은군,대전역,31.8634
23,옥천군,대전역,12.7339
24,영동군,대전역,35.8983
25,괴산군,충주역,20.9168
26,단양군,단양역,2.3648
27,공주시,공주역,12.8162
28,보령시,공주역,43.3527
29,논산시,논산역,2.2691
30,금산군,서대전역,24.9441
31,부여군,공주역,17.8964
32,서천군,익산역,27.6942
33,청양군,공주역,29.8399
34,예산군,천안아산역,26.3595
35,태안군,천안아산역,71.9992
36,정읍시,정읍역,1.432
37,남원시,남원역,2.6895
38,김제시,익산역,16.5812
39,진안군,전주역,24.4325
40,무주군,대전역,41.4522
41,장수군,남원역,29.9554
42,임실군,남원역,23.8311
43,순창군,곡성역,18.1579
44,고창군,정읍역,20.0859
45,부안군,정읍역,19.9728
46,담양군,광주송정역,27.1882
47,곡성군,곡성역,1.015
48,구례군,구례구역,4.4014
49,고흥군,여천역,40.4703
50,보성군,나주역,42.7176
51,화순군,광주송정역,19.5332
52,장흥군,나주역,40.8404
53,강진군,목포역,38.5046
54,해남군,목포역,31.3185
55,영암군,나주역,23.8725
56,함평군,나주역,19.1591
57,영광군,광주송정역,29.6754
58,장성군,광주송정역,18.3214
59,완도군,목포역,63.4237
60,진도군,목포역,36.242
61,신안군,목포역,5.4896
62,안동시,안동역,4.9948
63,영주시,영주역,0.478
64,영천시,신경주역,26.582
65,상주시,김천구미역,33.1809
66,문경시,안동역,43.5487
67,군위군,안동역,37.947
68,의성군,안동역,24.7115
69,청송군,안동역,37.4562
70,영양군,안동역,40.4167
71,영덕군,포항(KTX)역,38.2456
72,청도군,밀양역,19.4624
73,고령군,서대구역,30.5452
74,성주군,서대구역,23.4457
75,봉화군,영주역,13.2889
76,울진군,동해역,61.3473
77,울릉군,동해역,157.1738
78,밀양시,밀양역,3.8183
79,의령군,진주역,23.0551
80,함안군,마산역,16.0169
81,창녕군,밀양역,26.3182
82,경상남도 고성군,진주역,27.1768
83,남해군,여수엑스포역,16.1424
84,하동군,순천역,26.3124
85,산청군,진주역,36.8362
86,함양군,남원역,35.0561
87,거창군,김천구미역,53.3994
88,합천군,진주역,46.4028
