SIG_CD,지역,행정구역(시군구)별,인구감소지역
11110,서울,종로구,안심
11140,서울,중구,안심
11170,서울,용산구,안심
11200,서울,성동구,안심
11215,서울,광진구,안심
11230,서울,동대문구,안심
11260,서울,중랑구,안심
11290,서울,성북구,안심
11305,서울,강북구,안심
11320,서울,도봉구,안심
11350,서울,노원구,안심
11380,서울,은평구,안심
11410,서울,서대문구,안심
11440,서울,마포구,안심
11470,서울,양천구,안심
11500,서울,강서구,안심
11530,서울,구로구,안심
11545,서울,금천구,안심
11560,서울,영등포구,안심
11590,서울,동작구,안심
11620,서울,관악구,안심
11650,서울,서초구,안심
11680,서울,강남구,안심
11710,서울,송파구,안심
11740,서울,강동구,안심
26110,부산,중구,관심
26140,부산,서구,감소
26170,부산,동구,감소
26200,부산,영도구,감소
26230,부산,부산진구,안심
26260,부산,동래구,안심
26290,부산,남구,안심
26320,부산,북구,안심
26350,부산,해운대구,안심
26380,부산,사하구,안심
26410,부산,금정구,관심
26440,부산,강서구,안심
26470,부산,연제구,안심
26500,부산,수영구,안심
26530,부산,사상구,안심
26710,부산,기장군,안심
27110,대구,중구,안심
27140,대구,동구,안심
27170,대구,서구,감소
27200,대구,남구,감소
27230,대구,북구,안심
27260,대구,수성구,안심
27290,대구,달서구,안심
27710,대구,달성군,안심
28110,인천,중구,안심
28140,인천,동구,관심
28177,인천,미추홀구,안심
28185,인천,연수구,안심
28200,인천,남동구,안심
28237,인천,부평구,안심
28245,인천,계양구,안심
28260,인천,서구,안심
28710,인천,강화군,감소
28720,인천,옹진군,감소
29110,광주,동구,관심
29140,광주,서구,안심
29155,광주,남구,안심
29170,광주,북구,안심
29200,광주,광산구,안심
30110,대전,동구,관심
30140,대전,중구,관심
30170,대전,서구,안심
30200,대전,유성구,안심
30230,대전,대덕구,관심
31110,울산,중구,안심
31140,울산,남구,안심
31170,울산,동구,안심
31200,울산,북구,안심
31710,울산,울주군,안심
36110,세종,세종특별자치시,안심
41111,경기,수원시_장안구,안심
41113,경기,수원시_권선구,안심
41115,경기,수원시_팔달구,안심
41117,경기,수원시_영통구,안심
41131,경기,성남시_수정구,안심
41133,경기,성남시_중원구,안심
41135,경기,성남시_분당구,안심
41150,경기,의정부시,안심
41171,경기,안양시_만안구,안심
41173,경기,안양시_동안구,안심
41190,경기,부천시,안심
41210,경기,광명시,안심
41220,경기,평택시,안심
41250,경기,동두천시,관심
41271,경기,안산시_상록구,안심
41273,경기,안산시_단원구,안심
41281,경기,고양시_덕양구,안심
41285,경기,고양시_일산동구,안심
41287,경기,고양시_일산서구,안심
41290,경기,과천시,안심
41310,경기,구리시,안심
41360,경기,남양주시,안심
41370,경기,오산시,안심
41390,경기,시흥시,안심
41410,경기,군포시,안심
41430,경기,의왕시,안심
41450,경기,하남시,안심
41461,경기,용인시_처인구,안심
41463,경기,용인시_기흥구,안심
41465,경기,용인시_수지구,안심
41480,경기,파주시,안심
41500,경기,이천시,안심
41550,경기,안성시,안심
41570,경기,김포시,안심
41590,경기,화성시,안심
41610,경기,광주시,안심
41630,경기,양주시,안심
41650,경기,포천시,관심
41670,경기,여주시,안심
41800,경기,연천군,감소
41820,경기,가평군,감소
41830,경기,양평군,안심
42110,강원,춘천시,안심
42130,강원,원주시,안심
42150,강원,강릉시,관심
42170,강원,동해시,관심
42190,강원,태백시,감소
42210,강원,속초시,관심
42230,강원,삼척시,감소
42720,강원,홍천군,감소
42730,강원,횡성군,감소
42750,강원,영월군,감소
42760,강원,평창군,감소
42770,강원,정선군,감소
42780,강원,철원군,감소
42790,강원,화천군,감소
42800,강원,양구군,감소
42810,강원,인제군,관심
42820,강원,고성군,감소
42830,강원,양양군,감소
43112,충북,청주시_서원구,안심
43114,충북,청주시_청원구,안심
43111,충북,청주시_상당구,안심
43113,충북,청주시_흥덕구,안심
43130,충북,충주시,안심
43150,충북,제천시,감소
43720,충북,보은군,감소
43730,충북,옥천군,감소
43740,충북,영동군,감소
43745,충북,증평군,안심
43750,충북,진천군,안심
43760,충북,괴산군,감소
43770,충북,음성군,안심
43800,충북,단양군,감소
44270,충남,당진시,안심
44131,충남,천안시_동남구,안심
44133,충남,천안시_서북구,안심
44150,충남,공주시,감소
44180,충남,보령시,감소
44200,충남,아산시,안심
44210,충남,서산시,안심
44230,충남,논산시,감소
44250,충남,계룡시,안심
44710,충남,금산군,감소
44760,충남,부여군,감소
44770,충남,서천군,감소
44790,충남,청양군,감소
44800,충남,홍성군,안심
44810,충남,예산군,감소
44825,충남,태안군,감소
45111,전북,전주시_완산구,안심
45113,전북,전주시_덕진구,안심
45130,전북,군산시,안심
45140,전북,익산시,관심
45180,전북,정읍시,감소
45190,전북,남원시,감소
45210,전북,김제시,감소
45710,전북,완주군,안심
45720,전북,진안군,감소
45730,전북,무주군,감소
45740,전북,장수군,감소
45750,전북,임실군,감소
45770,전북,순창군,감소
45790,전북,고창군,감소
45800,전북,부안군,감소
46110,전남,목포시,안심
46130,전남,여수시,안심
46150,전남,순천시,안심
46170,전남,나주시,안심
46230,전남,광양시,안심
46710,전남,담양군,감소
46720,전남,곡성군,감소
46730,전남,구례군,감소
46770,전남,고흥군,감소
46780,전남,보성군,감소
46790,전남,화순군,감소
46800,전남,장흥군,감소
46810,전남,강진군,감소
46820,전남,해남군,감소
46830,전남,영암군,감소
46840,전남,무안군,안심
46860,전남,함평군,감소
46870,전남,영광군,감소
46880,전남,장성군,감소
46890,전남,완도군,감소
46900,전남,진도군,감소
46910,전남,신안군,감소
47111,경북,포항시_남구,안심
47113,경북,포항시_북구,안심
47130,경북,경주시,관심
47150,경북,김천시,관심
47170,경북,안동시,감소
47190,경북,구미시,안심
47210,경북,영주시,감소
47230,경북,영천시,감소
47250,경북,상주시,감소
47280,경북,문경시,감소
47290,경북,경산시,안심
47720,경북,군위군,감소
47730,경북,의성군,감소
47750,경북,청송군,감소
47760,경북,영양군,감소
47770,경북,영덕군,감소
47820,경북,청도군,감소
47830,경북,고령군,감소
47840,경북,성주군,감소
47850,경북,칠곡군,안심
47900,경북,예천군,안심
47920,경북,봉화군,감소
47930,경북,울진군,감소
47940,경북,울릉군,감소
48121,경남,창원시_의창구,안심
48123,경남,창원시_성산구,안심
48125,경남,창원시_마산합포구,안심
48127,경남,창원시_마산회원구,안심
48129,경남,창원시_진해구,안심
48170,경남,진주시,안심
48220,경남,통영시,관심
48240,경남,사천시,관심
48250,경남,김해시,안심
48270,경남,밀양시,감소
48310,경남,거제시,안심
48330,경남,양산시,안심
48720,경남,의령군,감소
48730,경남,함안군,감소
48740,경남,창녕군,감소
48820,경남,고성군,감소
48840,경남,남해군,감소
48850,경남,하동군,감소
48860,경남,산청군,감소
48870,경남,함양군,감소
48880,경남,거창군,감소
48890,경남,합천군,감소
50110,제주,제주시,안심
50130,제주,서귀포시,안심
