,sigungu,2016,2017,2018,2019,2020
0,부산시 동구,12551,12533,12324,11943,13607
1,부산시 서구,16167,15328,15086,13651,15589
2,대구시 서구,27438,27213,28099,29032,24344
3,부산시 영도구,15112,14155,13248,12166,12969
4,대구시 남구,26739,24714,25017,25476,25897
5,인천시 강화군,6666,6539,7102,6681,7531
6,인천시 옹진군,3292,3320,3488,3452,3242
7,가평군,6919,6671,7138,7090,6939
8,연천군,5916,5735,5782,5477,5338
9,강원도 고성군,4816,5435,5169,3835,3438
10,경남 고성군,4921,4749,4803,4695,4743
11,삼척시,9508,8671,11202,8359,8870
12,양구군,3384,3409,3432,3458,3284
13,양양군,3413,3483,3389,3269,3414
14,영월군,4316,4282,4603,4077,3971
15,정선군,3963,3769,3888,3949,3669
16,철원군,5842,5720,5634,5684,5182
17,태백시,6591,5876,5836,5600,5282
18,평창군,4103,3970,4248,4080,4167
19,홍천군,7173,6820,6876,7088,6820
20,화천군,4877,4594,4383,4016,3679
21,횡성군,4600,4575,4620,4751,4581
22,괴산군,4608,4804,4612,5122,5725
23,단양군,2776,2757,2813,2755,2613
24,보은군,3065,3081,3094,3024,3051
25,영동군,5718,5397,5296,5188,5326
26,옥천군,4004,4212,4220,3905,4174
27,제천시,18329,18923,18563,17978,17060
28,공주시,13578,14753,15939,13472,14252
29,금산군,5085,5009,5011,4909,5024
30,논산시,14506,14080,13812,13820,14277
31,보령시,12506,14246,11923,12448,13892
32,부여군,6442,6030,6660,5940,6014
33,서천군,4991,4382,4737,4371,4821
34,예산군,8330,6876,7225,7098,7697
35,청양군,2953,3088,3735,3341,3339
36,태안군,6136,5864,6516,5977,6159
37,고창군,7720,7874,8494,6031,5451
38,김제시,10948,10028,10210,9313,9722
39,남원시,10131,9222,9467,9667,10952
40,무주군,2102,2027,2122,2050,2134
41,부안군,6473,6430,6485,5682,5779
42,순창군,4180,3519,3626,3323,3265
43,임실군,4052,4088,4341,4695,4133
44,장수군,2019,2308,2260,2593,2096
45,정읍시,12764,15262,12906,12916,14149
46,진안군,2563,2418,2746,2511,2698
47,강진군,4099,3764,3733,3660,3627
48,고흥군,5256,5130,5749,5596,5827
49,곡성군,3000,3090,3205,3098,3077
50,구례군,3042,3223,3651,3401,3481
51,담양군,5073,5361,5734,5513,5543
52,보성군,4327,4038,4333,4145,4003
53,신안군,4619,4261,4558,4246,4522
54,영광군,5716,5593,5730,5609,5593
55,영암군,7274,6966,6281,6281,6370
56,완도군,4231,4108,4400,4233,4427
57,장성군,5883,5711,6251,6400,6715
58,장흥군,6471,4212,4445,3796,3791
59,진도군,2798,2759,2853,2610,3064
60,함평군,3485,3469,3954,3314,3264
61,해남군,6960,6815,6778,6668,6422
62,화순군,6631,6474,6929,6679,6267
63,고령군,3309,3281,3371,3079,3596
64,군위군,2085,2087,2538,2054,2422
65,문경시,8702,8245,8237,8215,9552
66,봉화군,2909,2730,2852,2816,2821
67,상주시,10267,10288,10690,11046,13440
68,성주군,4535,4441,5065,4775,5016
69,안동시,20734,23288,23681,19326,21983
70,영덕군,3399,3313,3318,3401,3665
71,영양군,1325,1203,1202,1397,1306
72,영주시,15169,12254,12383,11119,12056
73,영천시,11154,11634,11864,13045,14057
74,울릉군,1729,1658,1739,1649,1762
75,울진군,5269,5221,5180,5448,5271
76,의성군,4032,3841,4213,4320,4669
77,청도군,4310,4206,4450,4224,4347
78,청송군,2240,2261,2280,2248,2496
79,거창군,4614,4390,4751,4686,4995
80,남해군,3725,3546,3571,3478,3794
81,밀양시,11697,11174,11230,12234,13096
82,산청군,3430,3509,3567,3623,3638
83,의령군,2856,2592,2598,2475,2666
84,창녕군,7401,6937,7124,6805,7200
85,하동군,5898,5602,5374,5268,5208
86,함안군,7571,7365,7092,6803,6971
87,함양군,3435,3535,3802,3577,3493
88,합천군,4952,4555,4233,3637,4318
