,sigungu,제조업,2020
0,부산 동구,26,86801.0
1,부산 서구,62,105948.0
2,대구 서구,416,170922.5
3,부산 영도구,202,113042.5
4,대구 남구,9,145124.0
5,인천 강화군,72,68662.0
6,인천 옹진군,5,20366.5
7,가평군,29,61675.0
8,연천군,73,43104.5
9,강원 고성군,22,26791.5
10,삼척시,26,65623.0
11,양구군,12,22379.0
12,양양군,31,27627.5
13,영월군,44,38345.0
14,정선군,23,36313.0
15,철원군,23,44767.5
16,태백시,23,42288.0
17,평창군,21,41489.0
18,홍천군,47,68652.0
19,화천군,8,24703.5
20,횡성군,75,46150.0
21,괴산군,91,38968.0
22,단양군,29,29143.0
23,보은군,51,32402.5
24,영동군,34,47736.5
25,옥천군,126,50381.0
26,제천시,165,132882.5
27,공주시,158,104677.0
28,금산군,194,51373.0
29,논산시,219,116625.5
30,보령시,100,99852.5
31,부여군,44,65431.0
32,서천군,128,51820.5
33,예산군,208,78071.5
34,청양군,40,31134.0
35,태안군,17,62050.5
36,고창군,36,54578.5
37,김제시,208,82405.0
38,남원시,50,80653.5
39,무주군,11,24068.5
40,부안군,47,52251.0
41,순창군,21,27930.0
42,임실군,28,27928.0
43,장수군,13,22158.5
44,정읍시,147,108474.0
45,진안군,19,25360.5
46,강진군,16,34647.5
47,고흥군,71,64022.0
48,곡성군,29,28267.0
49,구례군,15,25985.0
50,담양군,90,46033.5
51,보성군,22,40543.5
52,신안군,14,39200.5
53,영광군,33,52970.0
54,영암군,230,53651.0
55,완도군,29,50007.0
56,장성군,140,44714.5
57,장흥군,39,37858.5
58,진도군,6,30721.5
59,함평군,40,32098.0
60,해남군,99,68999.5
61,화순군,73,62181.5
62,고령군,212,31646.5
63,군위군,39,23384.5
64,문경시,66,71266.5
65,봉화군,24,31492.0
66,상주시,62,98240.5
67,성주군,188,43399.5
68,안동시,84,158634.0
69,영덕군,18,36484.0
70,영양군,8,16667.0
71,영주시,90,103452.0
72,영천시,349,101506.0
73,울릉군,3,9184.5
74,울진군,19,48710.0
75,의성군,43,51647.0
76,청도군,47,42278.5
77,청송군,7,25051.5
78,거창군,49,61478.0
79,남해군,13,43004.5
80,밀양시,191,104300.5
81,산청군,39,34845.0
82,의령군,41,26832.0
83,창녕군,191,61341.5
84,하동군,23,45389.5
85,함안군,544,64502.0
86,함양군,42,39045.0
87,합천군,24,44159.5
