,행정구역(시군구)별,16_20
0,부산광역시 동구,-187.8
1,부산광역시 서구,-1007.0
2,부산광역시 영도구,-2520.0
3,대구광역시 남구,-2330.4
4,대구광역시 서구,-6431.0
5,인천광역시 강화군,821.4
6,인천광역시 옹진군,-20.2
7,경기도 가평군,374.8
8,경기도 연천군,-317.6
9,강원도 고성군,-474.8
10,경남남도 고성군,-335.4
11,강원도 삼척시,-844.0
12,강원도 양구군,-373.0
13,강원도 양양군,270.0
14,강원도 영월군,-31.8
15,강원도 정선군,-228.8
16,강원도 철원군,-764.4
17,강원도 태백시,-806.0
18,강원도 평창군,-123.2
19,강원도 홍천군,122.6
20,강원도 화천군,-431.2
21,강원도 횡성군,448.4
22,충청북도 괴산군,513.8
23,충청북도 단양군,-65.8
24,충청북도 보은군,-58.0
25,충청북도 영동군,-270.6
26,충청북도 옥천군,-8.4
27,충청북도 제천시,-278.4
28,충청북도 공주시,-822.0
29,충청남도 금산군,-304.6
30,충청남도 논산시,-932.2
31,충청남도 보령시,-466.0
32,충청남도 부여군,-515.2
33,충청남도 서천군,-469.0
34,충청남도 예산군,-478.2
35,충청남도 청양군,44.0
36,충청남도 태안군,118.2
37,전라북도 고창군,-618.2
38,전라북도 김제시,-586.2
39,전라북도 남원시,-400.6
40,전라북도 무주군,-0.6
41,전라북도 부안군,-487.4
42,전라북도 순창군,-304.6
43,전라북도 임실군,-355.4
44,전라북도 장수군,-64.2
45,전라북도 정읍시,-795.6
46,전라북도 진안군,15.2
47,전라남도 강진군,-580.4
48,전라남도 고흥군,-127.6
49,전라남도 곡성군,-239.6
50,전라남도 구례군,-99.6
51,전라남도 담양군,117.8
52,전라남도 보성군,-544.6
53,전라남도 신안군,-504.6
54,전라남도 영광군,-466.8
55,전라남도 영암군,-719.6
56,전라남도 완도군,-320.2
57,전라남도 장성군,-197.8
58,전라남도 장흥군,-825.0
59,전라남도 진도군,31.2
60,전라남도 함평군,-260.0
61,전라남도 해남군,-1131.0
62,전라남도 화순군,-339.4
63,경상북도 고령군,-422.4
64,경상북도 군위군,95.0
65,경상북도 문경시,-410.0
66,경상북도 봉화군,-162.6
67,경상북도 상주시,-276.8
68,경상북도 성주군,-30.0
69,경상북도 안동시,-1582.6
70,경상북도 영덕군,-198.8
71,경상북도 영양군,-63.2
72,경상북도 영주시,-785.4
73,경상북도 영천시,771.0
74,경상북도 울릉군,-182.4
75,경상북도 울진군,-335.6
76,경상북도 의성군,101.6
77,경상북도 청도군,162.6
78,경상북도 청송군,-14.2
79,경상남도 거창군,50.4
80,경상남도 남해군,8.2
81,경상남도 밀양시,12.4
82,경상남도 산청군,103.4
83,경상남도 의령군,-39.6
84,경상남도 창녕군,-72.4
85,경상남도 하동군,-654.8
86,경상남도 함안군,-693.6
87,경상남도 함양군,129.6
88,경상남도 합천군,-435.6
